,IVP,HRP,Maximum Returns,Minimum Volatility,Equally-weighted
1991,0.3932282046292751,0.42250784193584456,0.5029112868008647,0.4550323006891357,0.4795875934249796
1992,0.1893215389859839,0.23677373464657386,0.23873532015270665,0.2511146682183377,0.2482282287440813
1993,0.16122975241858312,0.20683109824884832,0.3875749728202266,0.23938775483923302,0.31089954141372633
1994,0.029128195803257647,0.045986871301096854,0.0825822447646883,0.07730330516999434,0.08484163646157333
1995,0.34446054815319194,0.3328162451707841,0.3808693534956413,0.37277494574820014,0.3770885663007507
1996,0.21102692946478313,0.23464677997730307,0.2751237922601054,0.24879288034336947,0.26092101094380726
1997,0.33478806649750376,0.3333918272733025,0.36946612645157173,0.35554079735254407,0.36124397739883873
1998,0.16876083117443735,0.14921299237664243,0.21763054902390594,0.18556517416483748,0.2151427588905323
1999,0.02326563106300731,0.006923184186579209,0.1269529272024329,0.12493635469469243,0.12768637464501223
2000,0.286546476288181,0.297189657772696,0.28249610447582396,0.2843058572765568,0.27876401515677574
2001,0.07160441424121032,0.12252457641026177,0.11251901276548545,0.1038662029973299,0.09997824399807423
2002,-0.0371749544269788,0.0039541204065516415,-0.06179973726624224,-0.04329004819151285,-0.0493671141146937
2003,0.2882639552053189,0.30246900289401624,0.3604750533055616,0.3260991400683851,0.3451488599180343
2004,0.19651263536064534,0.22521839132620675,0.21037852892728212,0.2198058831046208,0.2088341304360288
2005,0.10345889624801746,0.11566947670157032,0.11783744810584681,0.12158584215999564,0.11989170744406
2006,0.20311576491215252,0.22498996387714548,0.19495234138388984,0.19537002382554286,0.18764484243847712
2007,0.07891806498478109,0.07833203382776743,0.07220388939883851,0.07814021608671942,0.07982085996677192
2008,-0.2055864848122575,-0.17801186629462495,-0.24485833265778303,-0.22403496988296545,-0.23995164080759945
2009,0.3263676112960343,0.31284572271568234,0.4006238503906159,0.36838143298824,0.39533448241681146
2010,0.2035272361156502,0.2045761004806902,0.2314652372762295,0.21204356289391188,0.22613691531555485
2011,0.09874366153446783,0.10753402582039326,0.05681523920690856,0.07968182820015705,0.06765154043417412
2012,0.16722732518784833,0.16599546025649375,0.1790037195006226,0.19324693353261663,0.1913649677808546
2013,0.2908033770147733,0.3028566660054541,0.3290750239437161,0.3149684301733811,0.3242969275917439
2014,0.1699966220204748,0.17842909135119028,0.175083923044553,0.17750576540811258,0.16824853995959477
2015,0.03158066041125416,0.04904249879607668,0.0389622662078522,0.03604062980615644,0.028068236129523676
2016,0.18239610291003822,0.17671653414159008,0.2031516978287596,0.19489473597762957,0.19986507676618986
2017,0.1770900778809486,0.17764073743395914,0.21341320669961322,0.19673727205704866,0.2007087334105026
2018,-0.03572561355706451,-0.02800474599847649,-0.05551041273655064,-0.047225074978457876,-0.05734156029336493
2019,0.27008124994037486,0.2687893958079429,0.2921925303551287,0.27547686906882557,0.28349290991012144
2020,0.15932995238538966,0.1671102119756226,0.1918676189797245,0.1856345007015474,0.19877308237704266
