,IVP,HRP,Maximum Returns,Minimum Volatility,Equally-weighted
1991,0.10887615549459533,0.09592495640641434,0.13050455925675855,0.12055424717756084,0.1278896093582836
1992,0.07328325640512323,0.06450896326330893,0.09495249416866941,0.08518055165105937,0.09044901252130086
1993,0.07242457031248316,0.06786646508475773,0.19509568617503348,0.10046902529144322,0.13428779485752285
1994,0.08582572821776463,0.07985160566803459,0.09459509015357066,0.09155111577948401,0.09464469764818396
1995,0.06250022583926662,0.05647222092866932,0.07636690600817715,0.0690525985766394,0.0735692647432548
1996,0.09225839761936457,0.08303355660348746,0.10396812877926587,0.09679735630391383,0.10198223536669547
1997,0.1297943213155132,0.11460626154143845,0.1453941442611767,0.13569519618815265,0.14347468246033648
1998,0.15148248070826775,0.14584245845921975,0.1854166988970315,0.17477239952451087,0.18068367722373838
1999,0.12192926070300115,0.11293441967322025,0.13790555137343535,0.1318268807746387,0.13433903510205128
2000,0.16778167348934725,0.15610220633513808,0.19267190403304763,0.17329503523087864,0.18246189756445025
2001,0.15149717778234362,0.14213036687527975,0.18430395287595946,0.16905495917326288,0.18038769964883164
2002,0.22060202047631214,0.20307644194859015,0.24898711832482015,0.23178871873302853,0.24101039138166233
2003,0.14559269782285178,0.13732564964265045,0.16357575099013985,0.1543407796728129,0.1609584566324024
2004,0.10242765427761837,0.10296360101335537,0.11417814224251135,0.10989534771130101,0.1135118251631304
2005,0.10740939882825118,0.10849424169930719,0.1122601652868329,0.11056219884766356,0.11247386219782814
2006,0.09662781696228494,0.09856377444655386,0.11114131320003219,0.10637232556296387,0.10875525792844833
2007,0.15690732350526465,0.1554165081732921,0.1637029085269486,0.15571362142490788,0.15948769959656128
2008,0.40581069499565675,0.39692495786332743,0.4106168296480792,0.4125106579300505,0.4184787375653235
2009,0.286784626086153,0.2612315997795625,0.3240019023875664,0.3116738580556606,0.3200861063716053
2010,0.1727353036549776,0.1663846221331031,0.19500561262099322,0.18384195478473628,0.19178442211044477
2011,0.2234610649713963,0.21720953267378135,0.25055395020373145,0.241191597940754,0.25003233895996646
2012,0.1136394052077144,0.1114652294448561,0.1292274840007988,0.12618099173999725,0.131371918165474
2013,0.110601546018655,0.10904094242675687,0.11752600427311748,0.11547514350715121,0.11782377903666526
2014,0.10346225422103883,0.10274206209674455,0.11610595240671245,0.11070133526344883,0.1123638384699338
2015,0.143502526716912,0.1417255541705881,0.15180450068095896,0.14712147527230318,0.1504732719999187
2016,0.12279606892762436,0.1203691016260862,0.14515274470413783,0.13266681567363575,0.1397913096040131
2017,0.0616808465449395,0.06067835140443215,0.07004044630073361,0.06642218109595283,0.06949146668520192
2018,0.13520618834477274,0.13365067339994505,0.15491361404702836,0.14691608344969304,0.15070022903410674
2019,0.10742280949997184,0.10511043087800051,0.12453619978578179,0.1141468900748117,0.12385286323441286
2020,0.36631187567379686,0.35065219906552575,0.3870972681202858,0.38133833104132975,0.3906761158720054
